"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GADD45B",2.45664105099806e-62,-1.07160037748484,0.018,0.031,9.0006301633147e-57
"SLC13A5",3.00342251344233e-61,-1.38408327689367,0.008,0.018,1.07024481532744e-55
"PBXIP1",1.0318711976066e-59,-1.03094516480274,0.029,0.043,3.55859995232788e-54
"MT1G",2.80622903133887e-57,-1.38839637768679,0.008,0.017,9.1166461203749e-52
"RAB34",4.48760264839043e-54,-1.21113659285409,0.012,0.022,1.35852102730288e-48
"GPC5-AS2",1.73622781116729e-48,-1.18113281174537,0.015,0.025,4.55548728667437e-43
"MYORG",4.53617210076153e-47,-1.12663013807662,0.02,0.031,1.15604540259239e-41
"GNA14-AS1",4.07721807372993e-43,-1.5066872853217,0.011,0.019,9.3799521385987e-38
"LINC01896",5.22472519429214e-41,-1.07881789775873,0.014,0.023,1.13936946997635e-35
"AC092069.1",5.59732675698586e-41,-1.00612765052525,0.009,0.016,1.21989319101465e-35
"SALL3",7.72858824704192e-41,-1.00475334737926,0.016,0.025,1.67835839074901e-35
"AC114760.2",3.68624416610479e-40,-1.399961289153,0.008,0.015,7.78689705598712e-35
"AL356737.2",1.08854798138359e-39,-1.25114039557424,0.015,0.024,2.27440492029735e-34
"WNT7B",1.43787828137932e-38,-1.09214798497136,0.009,0.017,2.9059285633469e-33
"FIBIN",1.70148298342738e-38,-1.22800524530677,0.007,0.014,3.43105326786328e-33
"S100A16",4.88602234805217e-34,-1.09017240326068,0.006,0.012,8.63366222646212e-29
"LFNG",2.30596897488238e-31,-1.04517337841015,0.008,0.014,3.76925804041972e-26
"P2RY1",1.94193447510093e-30,-1.14679656709371,0.008,0.014,3.08155184254276e-25
"SOX21",7.76893121824583e-30,-1.16249219520403,0.006,0.011,1.2075540654938e-24
"TNFSF13",1.50707126267574e-29,-1.21674338079046,0.006,0.011,2.32660921731745e-24
"ENTPD2",1.61369351977737e-28,-1.1565470001968,0.006,0.011,2.40555441061704e-23
"PYGM",8.78549826551714e-27,-1.16701570185653,0.007,0.012,1.2296363741871e-21
"AC007325.2",2.18898796569437e-26,-1.29762007883141,0.008,0.013,3.03228756123769e-21
"EMP1",1.2456927870404e-22,-1.74816004360703,0.005,0.01,1.49574009643478e-17
"KLRC2",1.52752797619746e-21,-1.00551602360332,0.007,0.012,1.76154865773241e-16
"SRPX2",1.11862424069998e-18,-1.15395277449074,0.006,0.01,1.1309883056133e-13
"RLBP1",2.05935925343067e-16,-1.0547111331977,0.006,0.01,1.88106358621961e-11
"HBA2",4.89195547024995e-15,-1.00763385401398,0.006,0.01,4.19881809286691e-10
"PLA2G5",1.23110676174303e-14,-1.00493159472432,0.007,0.01,1.03783799571368e-09
