"Host Species","Metabolite (ID)","Gene (ID)",Alteration,Evidence,"Evidence Number"
human,"Propionate(104745, CHEBI:17272)","ALPI (248)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","ANGPTL4 (51129)",activation,correlatively,1
human,"Propionate(104745, CHEBI:17272)","CCL2 (6347)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","CLDN3 (1365)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","DCLK1 (9201)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","DEFB1 (1672)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","FFAR2 (2867)",activation,causally;causally,2
human,"Propionate(104745, CHEBI:17272)","FFAR3 (2865)",activation,causally;causally,2
human,"Propionate(104745, CHEBI:17272)","GHRL (51738)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","IL17A (3605)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","IL22 (50616)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","IL4R (3566)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","IL6 (3569)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","JUN (3725)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","LGR5 (8549)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","SLC5A8 (160728)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","TLR2 (7097)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","TLR8 (51311)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","TLR9 (54106)",activation,causally,1
human,"Pyruvate(107735, CHEBI:15361)","SLC5A8 (160728)",activation,causally,1
human,"Serotonin(5202, CHEBI:28790)","GLP1R (2740)",activation,causally,1
human,"Serotonin(5202, CHEBI:28790)","SSTR1 (6751)",activation,causally,1
human,"Serotonin(5202, CHEBI:28790)","SSTR3 (6753)",activation,causally,1
human,"Skatole(6736, CHEBI:9171)","CYP1A1 (1543)",activation,causally,1
human,"Sodium 3-hydroxybutyrate(23676771, CHEBI:113373)","HCAR2 (338442)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","CCL2 (6347)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","CXCL8 (3576)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","GOT1 (2805)",activation,correlatively,1
human,"Succinate(160419, CHEBI:30031)","GPT (2875)",activation,correlatively,1
human,"Succinate(160419, CHEBI:30031)","IL1B (3553)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","MAPK1 (5594)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","MAPK3 (5595)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","TNF (7124)",activation,causally,1
human,"Tretinoin(444795, CHEBI:15367)","IGAD1 (10986)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","CD14 (929)",activation,correlatively,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","CD163 (9332)",activation,correlatively,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","CD44 (960)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","HBA1 (3039)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","IL12A (3592)",activation,correlatively,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","IL1B (3553)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","IL6 (3569)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","LCN2 (3934)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","SMN1 (6606)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","SMURF2 (64750)",inhibition,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","TGFBR1 (7046)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","TNF (7124)",activation,causally;correlatively,2
human,"urolithin A(5488186, CHEBI:168442)","ABCC4 (10257)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","AHR (196)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","ASPM (259266)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","AURKAIP1 (54998)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","BLVRB (645)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CCNB3 (85417)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CDKN1A (1026)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CHAC1 (79094)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CLDN4 (1364)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CORO1B (57175)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CTSD (1509)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CYP1A1 (1543)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","DAPK3 (1613)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","DNPH1 (10591)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","DPP7 (29952)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","FADS3 (3995)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","FKBP2 (2286)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","FLNA (2316)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","G6PD (2539)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","HPGD (3248)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","IGFBP6 (3489)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","LINC00504 (201853)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","MGAM2 (93432)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","NFE2L2 (4780)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","NOX1 (27035)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","NQO1 (1728)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","OCLN (100506658)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","ONECUT2 (9480)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","PAK1 (5058)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","PEMT (10400)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","PFN1P2 (767846)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","RAC1 (5879)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","RNF144B (255488)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SERINC2 (347735)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SESN3 (143686)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SFN (2810)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SLC17A4 (10050)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SLC40A1 (30061)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SLITRK6 (84189)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SORBS2 (8470)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","THEM6 (51337)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","TJP1 (7082)",activation,causally;causally,2
human,"urolithin A(5488186, CHEBI:168442)","TP53 (7157)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","UPK3B (105375355)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","VAMP5 (10791)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","AKT1 (207)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","LEP (3952)",inhibition,causally,1
human,"Vancomycin(14969, CHEBI:28001)","MAPK1 (5594)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","MAPK14 (1432)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","MAPK3 (5595)",activation,causally,1
