Name,Common_name,Uniprot_ID,ChEMBL_ID,Class,Probability,Known_Actives,,NA.1
Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,0.0428942118511,0 /  3     ,NA,NA
Beta-1 adrenergic receptor,ADRB1,P08588,CHEMBL213,Family A G protein-coupled receptor,0.0312265582077,0 /  3     ,NA,NA
Adrenergic receptor beta,ADRB2,P07550,CHEMBL210,Family A G protein-coupled receptor,0.0439186325197,1 /  54     ,NA,NA
Beta-3 adrenergic receptor,ADRB3,P13945,CHEMBL246,Family A G protein-coupled receptor,0.0439186325197,0 /  3     ,NA,NA
Type-1 angiotensin II receptor   (by homology),AGTR1,P30556,CHEMBL227,Family A G protein-coupled receptor,0.0604245879294,45 /  0     ,NA,NA
Angiotensin II receptor,AGTR2,P50052,CHEMBL4607,Family A G protein-coupled receptor,0.0428381527054,54 /  0     ,NA,NA
Adenosylhomocysteinase,AHCY,P23526,CHEMBL2664,Enzyme,0.0238327432783,41 /  0     ,NA,NA
Aryl hydrocarbon receptor,AHR,P35869,CHEMBL3201,Transcription factor,0.0604245879294,0 /  5     ,NA,NA
Aldehyde reductase   (by homology),AKR1A1,P14550,CHEMBL2246,Enzyme,0.0428942118511,2 /  0     ,NA,NA
Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.0238327432783,0 /  2     ,NA,NA
Aldo-keto reductase family 1 member C1,AKR1C1,Q04828,CHEMBL5905,Enzyme,0.0238327432783,2 /  8     ,NA,NA
Aldo-keto reductase family 1 member C2,AKR1C2,P52895,CHEMBL5847,Enzyme,0.0238327432783,2 /  16     ,NA,NA
Aldo-keto-reductase family 1 member C3,AKR1C3,P42330,CHEMBL4681,Enzyme,0.0312265582077,26 /  15     ,NA,NA
Aldo-keto reductase family 1 member C4,AKR1C4,P17516,CHEMBL4999,Enzyme,0.0717871625222,0 /  1     ,NA,NA
Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,0.0428942118511,1 /  0     ,NA,NA
Serine/threonine-protein kinase AKT2,AKT2,P31751,CHEMBL2431,Kinase,0.100634432184,6 /  0     ,NA,NA
Serum albumin,ALB,P02768,CHEMBL3253,Secreted protein,0.0238327432783,0 /  5     ,NA,NA
Aldehyde dehydrogenase,ALDH2,P05091,CHEMBL1935,Oxidoreductase,0.100578902067,1 /  1     ,NA,NA
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.0414702990123,0 /  5     ,NA,NA
Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.0428942118511,1 /  9     ,NA,NA
Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.0312265582077,0 /  14     ,NA,NA
"Arachidonate 15-lipoxygenase, type II",ALOX15B,O15296,CHEMBL2457,Enzyme,0.0604245879294,1 /  0     ,NA,NA
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.0312265582077,1 /  26     ,NA,NA
5-lipoxygenase activating protein,ALOX5AP,P20292,CHEMBL4550,Other cytosolic protein,0.104671941128,379 /  0     ,NA,NA
Alkaline phosphatase placental-like,ALPG,P10696,CHEMBL3402,Enzyme,0.0428942118511,5 /  0     ,NA,NA
"Alkaline phosphatase, tissue-nonspecific isozyme",ALPL,P05186,CHEMBL5979,Enzyme,0.0312265582077,35 /  0     ,NA,NA
AMP deaminase 2,AMPD2,Q01433,CHEMBL2997,Enzyme,0.0428942118511,2 /  0     ,NA,NA
AMP deaminase 3,AMPD3,Q01432,CHEMBL2912,Enzyme,0.0312265582077,7 /  0     ,NA,NA
AMY1C,AMY1A,P04745,CHEMBL2478,Enzyme,0.100578902067,1 /  0     ,NA,NA
Pancreatic alpha-amylase,AMY2A,P04746,CHEMBL2045,Hydrolase,0.120225750913,3 /  0     ,NA,NA
Aminopeptidase N,ANPEP,P15144,CHEMBL1907,Protease,0.0238327432783,2 /  0     ,NA,NA
"Amine oxidase, copper containing",AOC3,Q16853,CHEMBL3437,Enzyme,0.0238327432783,9 /  0     ,NA,NA
DNA-(apurinic or apyrimidinic site) lyase,APEX1,P27695,CHEMBL5619,Enzyme,0.0428942118511,19 /  0     ,NA,NA
Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.048952897826,7 /  0     ,NA,NA
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.0238327432783,0 /  6     ,NA,NA
Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.100578902067,2 /  0     ,NA,NA
Histone chaperone ASF1A,ASF1A,Q9Y294,CHEMBL3392950,Unclassified protein,0.0535560755162,2 /  0     ,NA,NA
AICAR transformylase,ATIC,P31939,CHEMBL2518,Enzyme,0.106542925976,4 /  2     ,NA,NA
Potassium-transporting ATPase alpha chain 2,ATP12A,P54707,CHEMBL2933,Primary active transporter,0.0743922719035,0 /  10     ,NA,NA
Sodium/potassium-transporting ATPase alpha-1 chain,ATP1A1,P05023,CHEMBL1807,Primary active transporter,0.0642387798076,0 /  2     ,NA,NA
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.0312265582077,85 /  0     ,NA,NA
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.048952897826,2 /  3     ,NA,NA
Vasopressin V1a receptor   (by homology),AVPR1A,P37288,CHEMBL1889,Family A G protein-coupled receptor,0.0428381527054,50 /  0     ,NA,NA
Vasopressin V1b receptor,AVPR1B,P47901,CHEMBL1921,Family A G protein-coupled receptor,0.0428381527054,14 /  0     ,NA,NA
Vasopressin V2 receptor   (by homology),AVPR2,P30518,CHEMBL1790,Family A G protein-coupled receptor,0.0428381527054,54 /  0     ,NA,NA
Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.041891066893,47 /  0     ,NA,NA
Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0.0312265582077,70 /  0     ,NA,NA
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.100578902067,128 /  0     ,NA,NA
Bcl2-antagonist of cell death (BAD),BAD,Q92934,CHEMBL3817,Other cytosolic protein,0.100578902067,0 /  1     ,NA,NA
Gamma-butyrobetaine dioxygenase,BBOX1,O75936,CHEMBL2163175,Enzyme,0.0238327432783,0 /  11     ,NA,NA
"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,O15382,CHEMBL3616354,Transferase,0.0428942118511,4 /  0     ,NA,NA
Butyrylcholinesterase,BCHE,P06276,CHEMBL1914,Hydrolase,0.0535560755162,0 /  2     ,NA,NA
Apoptosis regulator Bcl-2,BCL2,P10415,CHEMBL4860,Other ion channel,0.041891066893,192 /  0     ,NA,NA
Bcl-2-related protein A1   (by homology),BCL2A1,Q16548,CHEMBL6044,Unclassified protein,0.0238327432783,0 /  1     ,NA,NA
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.033970689612,0 /  2     ,NA,NA
Bradykinin B1 receptor,BDKRB1,P46663,CHEMBL4308,Family A G protein-coupled receptor,0.0312265582077,44 /  0     ,NA,NA
Betaine--homocysteine S-methyltransferase 1,BHMT,Q93088,CHEMBL4328,Enzyme,0.100578902067,14 /  0     ,NA,NA
S-methylmethionine--homocysteine S-methyltransferase BHMT2,BHMT2,Q9H2M3,CHEMBL2163167,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Baculoviral IAP repeat-containing protein 2,BIRC2,Q13490,CHEMBL5462,Enzyme,0.0604245879294,0 /  15     ,NA,NA
Baculoviral IAP repeat-containing protein 3,BIRC3,Q13489,CHEMBL5335,Enzyme,0.0604245879294,0 /  4     ,NA,NA
Tyrosine-protein kinase BLK,BLK,P51451,CHEMBL2250,Kinase,0.0972399887602,5 /  0     ,NA,NA
Bone morphogenetic protein 1,BMP1,P13497,CHEMBL3898,Protease,0.104671941128,10 /  0     ,NA,NA
Tyrosine-protein kinase BMX,BMX,P51813,CHEMBL3834,Kinase,0.0972399887602,2 /  0     ,NA,NA
Serine/threonine-protein kinase B-raf,BRAF,P15056,CHEMBL5145,Kinase,0.048952897826,1 /  1     ,NA,NA
Bromodomain-containing protein 2,BRD2,P25440,CHEMBL1293289,Reader,0.0439186325197,0 /  2     ,NA,NA
Bromodomain-containing protein 3,BRD3,Q15059,CHEMBL1795186,Reader,0.0439186325197,0 /  2     ,NA,NA
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.0439186325197,0 /  2     ,NA,NA
Bromodomain-containing protein 9,BRD9,Q9H8M2,CHEMBL3108640,Reader,0.0439186325197,1 /  0     ,NA,NA
Bromodomain testis-specific protein,BRDT,Q58F21,CHEMBL1795185,Reader,0.0439186325197,0 /  2     ,NA,NA
Bombesin receptor subtype-3,BRS3,P32247,CHEMBL4080,Family A G protein-coupled receptor,0.0972399887602,1 /  0     ,NA,NA
Tyrosine-protein kinase BTK,BTK,Q06187,CHEMBL5251,Kinase,0.0972399887602,13 /  0     ,NA,NA
Mitotic checkpoint serine/threonine-protein kinase BUB1,BUB1,O43683,CHEMBL1772932,Enzyme,0.0822215166115,1 /  0     ,NA,NA
C3a anaphylatoxin chemotactic receptor,C3AR1,Q16581,CHEMBL4761,Family A G protein-coupled receptor,0.112041901328,0 /  17     ,NA,NA
C5a anaphylatoxin chemotactic receptor,C5AR1,P21730,CHEMBL2373,Family A G protein-coupled receptor,0.0604245879294,29 /  0     ,NA,NA
Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.0238327432783,9 /  6     ,NA,NA
Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.0312265582077,11 /  0     ,NA,NA
Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.0312265582077,1 /  0     ,NA,NA
Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0.0238327432783,4 /  3     ,NA,NA
Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.0238327432783,13 /  30     ,NA,NA
Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,0.0312265582077,3 /  0     ,NA,NA
Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.0238327432783,0 /  2     ,NA,NA
Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.0238327432783,1 /  3     ,NA,NA
Carbonic anhydrase VB,CA5B,Q9Y2D0,CHEMBL3969,Lyase,0.0238327432783,2 /  3     ,NA,NA
Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.0238327432783,3 /  3     ,NA,NA
Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.0238327432783,4 /  3     ,NA,NA
Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.0312265582077,10 /  0     ,NA,NA
Voltage-gated calcium channel alpha2/delta subunit 1   (by homology),CACNA2D1,P54289,CHEMBL1919,Calcium channel auxiliary subunit alpha2delta family,0.0238327432783,16 /  5     ,NA,NA
Calcitonin gene-related peptide 1,CALCA,P06881,CHEMBL5293,Unclassified protein,0.113285953487,1 /  0     ,NA,NA
Calmodulin,CALM1,P62158,CHEMBL6093,Unclassified protein,0.0312265582077,0 /  1     ,NA,NA
CaM kinase II beta,CAMK2B,Q13554,CHEMBL4121,Kinase,0.100578902067,1 /  0     ,NA,NA
CaM-kinase kinase beta,CAMKK2,Q96RR4,CHEMBL5284,Kinase,0.0535560755162,1 /  0     ,NA,NA
Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0.0312265582077,2 /  0     ,NA,NA
Calpain 2,CAPN2,P17655,CHEMBL2382,Protease,0.0312265582077,2 /  0     ,NA,NA
Caspase-1,CASP1,P29466,CHEMBL4801,Protease,0.0822215166115,142 /  0     ,NA,NA
Caspase-2,CASP2,P42575,CHEMBL4884,Protease,0.0972399887602,3 /  0     ,NA,NA
Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0.0428942118511,30 /  0     ,NA,NA
Caspase-6,CASP6,P55212,CHEMBL3308,Protease,0.0972399887602,3 /  0     ,NA,NA
Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0.0312265582077,60 /  0     ,NA,NA
Caspase-8,CASP8,Q14790,CHEMBL3776,Protease,0.0312265582077,52 /  0     ,NA,NA
Calcium sensing receptor,CASR,P41180,CHEMBL1878,Family C G protein-coupled receptor,0.0312265582077,13 /  0     ,NA,NA
Carbonyl reductase [NADPH] 1,CBR1,P16152,CHEMBL5586,Enzyme,0.0972399887602,3 /  1     ,NA,NA
Chromobox protein homolog 7,CBX7,O95931,CHEMBL1764946,Reader,0.112041901328,0 /  16     ,NA,NA
Cholecystokinin A receptor,CCKAR,P32238,CHEMBL1901,Family A G protein-coupled receptor,0.0428381527054,61 /  0     ,NA,NA
Cholecystokinin B receptor,CCKBR,P32239,CHEMBL298,Family A G protein-coupled receptor,0.0428381527054,215 /  0     ,NA,NA
CDK2/Cyclin A,CCNA2 CDK2,P20248 P24941,CHEMBL3038469,Kinase,0.0822215166115,75 /  0     ,NA,NA
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.0312265582077,9 /  0     ,NA,NA
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.041891066893,20 /  0     ,NA,NA
Cyclin-dependent kinase 4/cyclin D,CCND3 CCND1 CDK4 CCND2,P30281 P24385 P11802 P30279,CHEMBL2095942,Other cytosolic protein,0.0535560755162,9 /  0     ,NA,NA
Cyclin-dependent kinase 2/cyclin E1,CCNE1 CDK2,P24864 P24941,CHEMBL1907605,Kinase,0.041891066893,11 /  0     ,NA,NA
CDK3/Cyclin E,CCNE1 CDK3,P24864 Q00526,CHEMBL3038471,Kinase,0.0972399887602,17 /  0     ,NA,NA
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.041891066893,28 /  0     ,NA,NA
Cyclin T1,CCNT1,O60563,CHEMBL2108,Other cytosolic protein,0.041891066893,91 /  0     ,NA,NA
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.0312265582077,11 /  0     ,NA,NA
C-C chemokine receptor type 2,CCR2,P41597,CHEMBL4015,Family A G protein-coupled receptor,0.0312265582077,9 /  0     ,NA,NA
C-C chemokine receptor type 4,CCR4,P51679,CHEMBL2414,Family A G protein-coupled receptor,0.0312265582077,27 /  0     ,NA,NA
C-C chemokine receptor type 5,CCR5,P51681,CHEMBL274,Family A G protein-coupled receptor,0.033970689612,0 /  6     ,NA,NA
C-C chemokine receptor type 8,CCR8,P51685,CHEMBL4596,Family A G protein-coupled receptor,0.033970689612,0 /  7     ,NA,NA
Lymphocyte differentiation antigen CD38,CD38,P28907,CHEMBL4660,Enzyme,0.0853031603775,0 /  2     ,NA,NA
CD81 antigen,CD81,P60033,CHEMBL1075180,Surface antigen,0.0626219668353,0 /  1     ,NA,NA
Cytidine deaminase,CDA,P32320,CHEMBL4502,Enzyme,0.0535560755162,33 /  0     ,NA,NA
Dual specificity phosphatase Cdc25A,CDC25A,P30304,CHEMBL3775,Phosphatase,0.0238327432783,0 /  3     ,NA,NA
Dual specificity phosphatase Cdc25B,CDC25B,P30305,CHEMBL4804,Phosphatase,0.0428942118511,7 /  0     ,NA,NA
Dual specificity phosphatase Cdc25C,CDC25C,P30307,CHEMBL2378,Phosphatase,0.0743922719035,0 /  4     ,NA,NA
CDC45-related protein,CDC45,O75419,CHEMBL3040,Other nuclear protein,0.0238327432783,0 /  1     ,NA,NA
CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase),CDC7,O00311,CHEMBL5443,Kinase,0.0238327432783,3 /  0     ,NA,NA
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.0238327432783,0 /  1     ,NA,NA
Cyclin-dependent kinase 1/cyclin B1,CDK1 CCNB1,P06493 P14635,CHEMBL1907602,Other cytosolic protein,0.0535560755162,2 /  0     ,NA,NA
Cell division cycle 2-like protein kinase 6,CDK19,Q9BWU1,CHEMBL6002,Kinase,0.104671941128,1 /  0     ,NA,NA
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.0312265582077,52 /  0     ,NA,NA
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.0312265582077,21 /  0     ,NA,NA
Cyclin-dependent kinase 4,CDK4,P11802,CHEMBL331,Kinase,0.041891066893,128 /  0     ,NA,NA
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5,Q00535,CHEMBL4036,Kinase,0.109339753231,6 /  0     ,NA,NA
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.048952897826,19 /  0     ,NA,NA
Cyclin-dependent kinase 6,CDK6,Q00534,CHEMBL2508,Kinase,0.100578902067,3 /  0     ,NA,NA
Cyclin-dependent kinase 7/ cyclin H,CDK7 CCNH,P50613 P51946,CHEMBL2111288,Other cytosolic protein,0.109339753231,4 /  0     ,NA,NA
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.104671941128,21 /  0     ,NA,NA
Cyclin-dependent kinase 9,CDK9,P50750,CHEMBL3116,Kinase,0.0604245879294,9 /  0     ,NA,NA
CDK9/cyclin T1,CDK9 CCNT1,P50750 O60563,CHEMBL2111389,Other cytosolic protein,0.0822215166115,28 /  0     ,NA,NA
Acyl coenzyme A:cholesterol acyltransferase,CES1,P23141,CHEMBL2265,Enzyme,0.0238327432783,28 /  0     ,NA,NA
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.033970689612,8 /  2     ,NA,NA
Complement factor B,CFB,P00751,CHEMBL5731,Protease,0.0604245879294,0 /  4     ,NA,NA
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.0822215166115,110 /  0     ,NA,NA
Cystic fibrosis transmembrane conductance regulator,CFTR,P13569,CHEMBL4051,Other ion channel,0.0312265582077,4 /  0     ,NA,NA
Serine/threonine-protein kinase Chk1,CHEK1,O14757,CHEMBL4630,Kinase,0.0428942118511,2 /  0     ,NA,NA
Serine/threonine-protein kinase Chk2,CHEK2,O96017,CHEMBL2527,Kinase,0.0978745343258,22 /  0     ,NA,NA
Acidic mammalian chitinase,CHIA,Q9BZP6,CHEMBL1293197,Enzyme,0.041891066893,0 /  1     ,NA,NA
Muscarinic acetylcholine receptor M1,CHRM1,P11229,CHEMBL216,Family A G protein-coupled receptor,0.0428942118511,1 /  0     ,NA,NA
Muscarinic acetylcholine receptor M2,CHRM2,P08172,CHEMBL211,Family A G protein-coupled receptor,0.0428942118511,0 /  16     ,NA,NA
Muscarinic acetylcholine receptor M3,CHRM3,P20309,CHEMBL245,Family A G protein-coupled receptor,0.0428942118511,0 /  15     ,NA,NA
Neuronal acetylcholine receptor; alpha3/beta4,CHRNA3 CHRNB4,P32297 P30926,CHEMBL1907594,Ligand-gated ion channel,0.0443083186041,37 /  27     ,NA,NA
Neuronal acetylcholine receptor protein alpha-4 subunit,CHRNA4,P43681,CHEMBL1882,Ligand-gated ion channel,0.0717871625222,0 /  1     ,NA,NA
Neuronal acetylcholine receptor; alpha4/beta2,CHRNA4 CHRNB2,P43681 P17787,CHEMBL1907589,Ligand-gated ion channel,0.0312265582077,3 /  0     ,NA,NA
Neuronal acetylcholine receptor protein alpha-7 subunit   (by homology),CHRNA7,P36544,CHEMBL2492,Ligand-gated ion channel,0.0238327432783,0 /  2     ,NA,NA
CDGSH iron-sulfur domain-containing protein 1,CISD1,Q9NZ45,CHEMBL1795168,Unclassified protein,0.100578902067,2 /  0     ,NA,NA
Citron Rho-interacting kinase,CIT,O14578,CHEMBL5579,Kinase,0.104671941128,3 /  0     ,NA,NA
Dual specificty protein kinase CLK1,CLK1,P49759,CHEMBL4224,Kinase,0.0428942118511,33 /  0     ,NA,NA
Dual specificity protein kinase CLK2,CLK2,P49760,CHEMBL4225,Kinase,0.104671941128,18 /  0     ,NA,NA
Dual specificity protein kinase CLK3,CLK3,P49761,CHEMBL4226,Kinase,0.104671941128,14 /  0     ,NA,NA
Dual specificity protein kinase CLK4,CLK4,Q9HAZ1,CHEMBL4203,Kinase,0.0604245879294,18 /  0     ,NA,NA
Chymase,CMA1,P23946,CHEMBL4068,Protease,0.0312265582077,17 /  0     ,NA,NA
CCR4-NOT transcription complex subunit 7,CNOT7,Q9UIV1,CHEMBL3616361,Hydrolase,0.113285953487,1 /  0     ,NA,NA
Cannabinoid receptor 1,CNR1,P21554,CHEMBL218,Family A G protein-coupled receptor,0.0238327432783,0 /  15     ,NA,NA
Cannabinoid receptor 2,CNR2,P34972,CHEMBL253,Family A G protein-coupled receptor,0.0238327432783,0 /  10     ,NA,NA
Collagen type IV alpha-3-binding protein,COL4A3BP,Q9Y5P4,CHEMBL3399913,Unclassified protein,0.100634432184,1 /  0     ,NA,NA
Catechol O-methyltransferase   (by homology),COMT,P21964,CHEMBL2023,Transferase,0.0312265582077,1 /  4     ,NA,NA
Uncharacterized aarF domain-containing protein kinase 4,COQ8B,Q96D53,CHEMBL5753,Kinase,0.0972399887602,4 /  0     ,NA,NA
Carboxypeptidase A1,CPA1,P15085,CHEMBL2088,Protease,0.0312265582077,13 /  5     ,NA,NA
Mast cell carboxypeptidase A,CPA3,P15088,CHEMBL2645,Protease,0.0312265582077,0 /  3     ,NA,NA
Carboxypeptidase B,CPB1,P15086,CHEMBL2552,Protease,0.033970689612,3 /  0     ,NA,NA
Carboxypeptidase B2 isoform A,CPB2,Q96IY4,CHEMBL3419,Protease,0.0312265582077,25 /  1     ,NA,NA
"Carboxypeptidase N, catalytic subunit",CPN1,P15169,CHEMBL4713,Protease,0.0238327432783,7 /  3     ,NA,NA
"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,P50416,CHEMBL1293194,Enzyme,0.0428942118511,0 /  4     ,NA,NA
"Carnitine O-palmitoyltransferase 1, muscle isoform",CPT1B,Q92523,CHEMBL2216739,Group translocator,0.0978745343258,132 /  0     ,NA,NA
