"name"	"type"	"layer"
"Dihydroresveratrol"	"Metabolite"	3
"5-Methoxyindole-3-acetic acid"	"Metabolite"	3
"2-hydroxy-3-(5-hydroxy-1H-indol-3-yl)propanoic acid"	"Metabolite"	3
"Agmatine"	"Metabolite"	3
"6'-Hydroxy-O-desmethylangolensin"	"Metabolite"	3
"3-(3',4'-Dihydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)-propan-2-ol"	"Metabolite"	3
"Deoxycholic Acid"	"Metabolite"	3
"2-Methylbutyrate"	"Metabolite"	3
"Benzoate"	"Metabolite"	3
"10-keto-12Z-octadecenoic acid"	"Metabolite"	3
"Ponciretin"	"Metabolite"	3
"2,3-Butanediol"	"Metabolite"	3
"Taurodeoxycholic acid"	"Metabolite"	3
"3-Hydroxy-4-methoxybenzenepropanoic acid"	"Metabolite"	3
"Capric Acid"	"Metabolite"	3
"Citric Acid"	"Metabolite"	3
"Ursodiol"	"Metabolite"	3
"Coumarin"	"Metabolite"	3
"3-(1H-indol-3-yl)propanoate"	"Metabolite"	3
"Glutamic Acid"	"Metabolite"	3
"Lariciresinol"	"Metabolite"	3
"Dihydrocaffeic acid"	"Metabolite"	3
"Isovalerate"	"Metabolite"	3
"Phloroglucinol"	"Metabolite"	3
"3-Indolepropionic acid"	"Metabolite"	3
"Acetyl phosphate(2-)"	"Metabolite"	3
"DL-Aspartic acid"	"Metabolite"	3
"N-acetylornithine"	"Metabolite"	3
"3-(3,4-Dihydroxyphenyl)-2-hydroxypropanoic acid"	"Metabolite"	3
"Bile acid"	"Metabolite"	3
"beta-D-fructofuranose"	"Metabolite"	3
"Taurolithocholic acid"	"Metabolite"	3
"Hexanoate"	"Metabolite"	3
"Lacto-N-tetraose"	"Metabolite"	3
"Genipin"	"Metabolite"	3
"2,4-Dioxopentanedioic acid"	"Metabolite"	3
"Arachidonic Acid"	"Metabolite"	3
"6-[(4R,5S)-5-methyl-2-oxoimidazolidin-4-yl]hexanoic acid"	"Metabolite"	3
"Doconexent"	"Metabolite"	3
"Palmitoleic Acid"	"Metabolite"	3
"Oleic Acid"	"Metabolite"	3
"5-(3,4-Dihydroxyphenyl)-valerolactone"	"Metabolite"	3
"p-Cresol sulfate"	"Metabolite"	3
"Palmitoylethanolamide"	"Metabolite"	3
"Phloretin"	"Metabolite"	3
"8-Prenylnaringenin"	"Metabolite"	3
"5-(3,4-Dihydroxyphenyl)pentanoic acid"	"Metabolite"	3
"2,3-Bis(3,4-dihydroxybenzyl)butyrolactone"	"Metabolite"	3
"N,O-Bis-(trimethylsilyl)phenylalanine"	"Metabolite"	3
"Quercetin"	"Metabolite"	3
"Acacetin"	"Metabolite"	3
"Apigenin"	"Metabolite"	3
"Luteolin"	"Metabolite"	3
"Linoleic Acid"	"Metabolite"	3
"Quercitrin"	"Metabolite"	3
"Isoquercetin"	"Metabolite"	3
"Kaempferol"	"Metabolite"	3
"Naringenin chalcone"	"Metabolite"	3
"Genistein"	"Metabolite"	3
"Chrysin"	"Metabolite"	3
"Diosmetin"	"Metabolite"	3
"Norathyriol"	"Metabolite"	3
"Myricetin"	"Metabolite"	3
"Daidzein"	"Metabolite"	3
"Quercimeritrin"	"Metabolite"	3
"Gondoic Acid"	"Metabolite"	3
"6,7,4'-Trihydroxyisoflavone"	"Metabolite"	3
"5-(3,4-Dihydroxyphenyl)-4-hydroxypentanoic acid"	"Metabolite"	3
"1-O-Caffeoylglycerol"	"Metabolite"	3
"Glycitein"	"Metabolite"	3
"Icaritin"	"Metabolite"	3
"20(R)-Ginsenoside Rh2"	"Metabolite"	3
"Sedoheptulose"	"Metabolite"	3
"L-lactate"	"Metabolite"	3
"Ascorbic Acid"	"Metabolite"	3
"3,4-Dihydroxyphenylacetic acid"	"Metabolite"	3
"Baohuoside I"	"Metabolite"	3
"Tyramine"	"Metabolite"	3
"1-18:1-lysoPE"	"Metabolite"	3
"Creatine"	"Metabolite"	3
"Cysteine"	"Metabolite"	3
"Alanine"	"Metabolite"	3
"Serine"	"Metabolite"	3
"Aspartic Acid"	"Metabolite"	3
"DL-Alanine"	"Metabolite"	3
"Levodopa"	"Metabolite"	3
"Tyrosine"	"Metabolite"	3
"Leucine"	"Metabolite"	3
"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate"	"Metabolite"	3
"Methionine"	"Metabolite"	3
"Phenylalanine"	"Metabolite"	3
"D-Lactic acid"	"Metabolite"	3
"L-ornithine"	"Metabolite"	3
"Asparagine"	"Metabolite"	3
"Histidine"	"Metabolite"	3
"Valine"	"Metabolite"	3
"Threonine"	"Metabolite"	3
"l-Isoleucine"	"Metabolite"	3
"Arctigenin"	"Metabolite"	3
"2,3-Butanedione"	"Metabolite"	3
"N-Acetyl-L-aspartic acid"	"Metabolite"	3
"Quinic acid"	"Metabolite"	3
"Secoisolariciresinol"	"Metabolite"	3
"Isobutyric acid"	"Metabolite"	3
"Pantothenic Acid"	"Metabolite"	3
"Taurocholic acid"	"Metabolite"	3
"4-Pyridoxic acid"	"Metabolite"	3
"Cystine"	"Metabolite"	3
"Dopamine"	"Metabolite"	3
"Caffeic Acid"	"Metabolite"	3
"2-(4-Hydroxyphenyl)propionic acid, (2S)-"	"Metabolite"	3
"3,4-Dihydroxybenzoic acid"	"Metabolite"	3
"3-Hydroxybenzoic acid"	"Metabolite"	3
"Glycine"	"Metabolite"	3
"Glycerin"	"Metabolite"	3
"Hydroquinone"	"Metabolite"	3
"2-Acetoxypropanoic acid"	"Metabolite"	3
"Valeric acid"	"Metabolite"	3
"Leucylproline"	"Metabolite"	3
"DL-Norvaline"	"Metabolite"	3
"2-Methylbutanoic acid"	"Metabolite"	3
"3-Hydroxyphenethyl alcohol"	"Metabolite"	3
"L-Leucic acid"	"Metabolite"	3
"D-Methionine"	"Metabolite"	3
"Pipecolic acid"	"Metabolite"	3
"DL-Tartaric acid"	"Metabolite"	3
"Caproic Acid"	"Metabolite"	3
"O-Desmethylangolensin"	"Metabolite"	3
"3-(3-Hydroxyphenyl)propanoic acid"	"Metabolite"	3
"Lactate"	"Metabolite"	3
"Equol"	"Metabolite"	3
"Melezitose"	"Metabolite"	3
"Indole-3-lactic acid"	"Metabolite"	3
"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one"	"Metabolite"	3
"2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid"	"Metabolite"	3
"Isoallolithocholic acid"	"Metabolite"	3
"D-Glucuronic Acid"	"Metabolite"	3
"(R)-3-(4-Hydroxyphenyl)lactate"	"Metabolite"	3
"3-(2,4-Dihydroxyphenyl)propanoic acid"	"Metabolite"	3
"Oxalacetic acid"	"Metabolite"	3
"Citrulline"	"Metabolite"	3
"5-OH-Equol"	"Metabolite"	3
"beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-D-Glc"	"Metabolite"	3
"Dihydrogenistein"	"Metabolite"	3
"Palmitic Acid"	"Metabolite"	3
"Ethyl phenyllactate, (-)-"	"Metabolite"	3
"Lithocholic acid"	"Metabolite"	3
"Protopanaxadiol"	"Metabolite"	3
"Phenylacetic Acid"	"Metabolite"	3
"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol"	"Metabolite"	3
"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol"	"Metabolite"	3
"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol"	"Metabolite"	3
"(4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid"	"Metabolite"	3
"(4R)-4-hydroxy-5-(3-hydroxyphenyl) valeric acid"	"Metabolite"	3
"(4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid"	"Metabolite"	3
"(4S)-4-hydroxy-5-(3-hydroxyphenyl) valeric acid"	"Metabolite"	3
"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol"	"Metabolite"	3
"Oscillibacter"	"Species"	1
"Lachnospiraceae"	"Species"	1
"Alistipes"	"Species"	1
"Faecalibacterium"	"Species"	1
"Parabacteroides"	"Species"	1
"Roseburia"	"Species"	1
"Prevotella"	"Species"	1
"Blautia"	"Species"	1
"Phascolarctobacterium"	"Species"	1
"Bacteroides"	"Species"	1
"Ruminococcus"	"Species"	1
"Parasutterella"	"Species"	1
"Dialister"	"Species"	1
"Bifidobacterium"	"Species"	1
"Lactobacillus"	"Species"	1
"Coprococcus"	"Species"	1
"Clostridium"	"Species"	1
"Sutterella"	"Species"	1
"Anaerostipes"	"Species"	1
"Veillonella"	"Species"	1
"Streptococcus"	"Species"	1
"Eggerthella"	"Species"	1
"Eubacterium"	"Species"	1
"Bifidobacteriaceae"	"Species"	1
"MDD"	"Disorder"	5
"MAPK signaling pathway"	"Pathway"	2
"Calcium signaling pathway"	"Pathway"	2
"PI3K-Akt signaling pathway"	"Pathway"	2
"IRS-mediated signalling"	"Pathway"	2
"IRS-related events triggered by IGF1R"	"Pathway"	2
"Insulin receptor signalling cascade"	"Pathway"	2
"IGF1R signaling cascade"	"Pathway"	2
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	"Pathway"	2
"Signaling by Insulin receptor"	"Pathway"	2
"PI3K/AKT Signaling in Cancer"	"Pathway"	2
"PIP3 activates AKT signaling"	"Pathway"	2
"RAF/MAP kinase cascade"	"Pathway"	2
"MAPK1/MAPK3 signaling"	"Pathway"	2
"MAPK family signaling cascades"	"Pathway"	2
"Disease"	"Pathway"	2
"Signal Transduction"	"Pathway"	2
